Type,Level,Year,Cost,Time
Durable Medical Equipment,5,2021,68.6,Projection
Durable Medical Equipment,5,2022,72.8,Projection
Durable Medical Equipment,5,2023,77.5,Projection
Durable Medical Equipment,5,2024,82.2,Projection
Durable Medical Equipment,5,2025,87.2,Projection
Durable Medical Equipment,5,2026,92.4,Projection
Durable Medical Equipment,5,2027,97.8,Projection
Other Non-Durable Medical Products,5,2018,66.2,Projection
Other Non-Durable Medical Products,5,2019,69.3,Projection
Other Non-Durable Medical Products,5,2020,73.0,Projection
Other Non-Durable Medical Products,5,2021,76.9,Projection
Other Non-Durable Medical Products,5,2022,81.2,Projection
Other Non-Durable Medical Products,5,2023,85.6,Projection
Other Non-Durable Medical Products,5,2024,90.2,Projection
Other Non-Durable Medical Products,5,2025,95.0,Projection
Other Non-Durable Medical Products,5,2026,99.9,Projection
Other Non-Durable Medical Products,5,2027,105.0,Projection
Government Administration,3,2018,46.7,Projection
Government Administration,3,2019,49.4,Projection
Government Administration,3,2020,52.0,Projection
Government Administration,3,2021,54.9,Projection
Government Administration,3,2022,58.5,Projection
Government Administration,3,2023,62.5,Projection
Government Administration,3,2024,66.6,Projection
Government Administration,3,2025,70.9,Projection
Government Administration,3,2026,75.8,Projection
Government Administration,3,2027,81.0,Projection
Net Cost of Health Insurance,3,2018,247.2,Projection
Net Cost of Health Insurance,3,2019,252.0,Projection
Net Cost of Health Insurance,3,2020,275.2,Projection
Net Cost of Health Insurance,3,2021,294.0,Projection
Net Cost of Health Insurance,3,2022,312.3,Projection
Net Cost of Health Insurance,3,2023,331.7,Projection
Net Cost of Health Insurance,3,2024,352.4,Projection
Net Cost of Health Insurance,3,2025,373.8,Projection
Net Cost of Health Insurance,3,2026,394.8,Projection
Net Cost of Health Insurance,3,2027,417.3,Projection
Government Public Health Activities,3,2018,91.1,Projection
Government Public Health Activities,3,2019,93.6,Projection
Government Public Health Activities,3,2020,96.2,Projection
Government Public Health Activities,3,2021,99.1,Projection
Government Public Health Activities,3,2022,102.8,Projection
Government Public Health Activities,3,2023,106.5,Projection
Government Public Health Activities,3,2024,110.4,Projection
Government Public Health Activities,3,2025,114.7,Projection
Government Public Health Activities,3,2026,119.2,Projection
Government Public Health Activities,3,2027,123.2,Projection
Investment,2,2018,176.5,Projection
Investment,2,2019,185.5,Projection
Investment,2,2020,195.1,Projection
Investment,2,2021,205.6,Projection
Investment,2,2022,216.9,Projection
Investment,2,2023,228.6,Projection
Investment,2,2024,241.1,Projection
Investment,2,2025,254.3,Projection
Investment,2,2026,268.3,Projection
Investment,2,2027,283.3,Projection
Research,3,2018,53.5,Projection
Research,3,2019,56.2,Projection
Research,3,2020,59.0,Projection
Research,3,2021,62.0,Projection
Research,3,2022,65.2,Projection
Research,3,2023,68.4,Projection
Research,3,2024,71.8,Projection
Research,3,2025,75.3,Projection
Research,3,2026,79.0,Projection
Research,3,2027,83.3,Projection
Structures and Equipment,3,2018,123.1,Projection
Structures and Equipment,3,2019,129.3,Projection
Structures and Equipment,3,2020,136.1,Projection
Structures and Equipment,3,2021,143.6,Projection
Structures and Equipment,3,2022,151.7,Projection
Structures and Equipment,3,2023,160.2,Projection
Structures and Equipment,3,2024,169.3,Projection
Structures and Equipment,3,2025,179.0,Projection
Structures and Equipment,3,2026,189.2,Projection
Structures and Equipment,3,2027,200.0,Projection
